Quantity,Lot Name,Rate,Bid Sheet,Unit,Lot No.,Buyer,Material Value,GST TDS Rate,Security Deposit (Received),SD Receipt Date (Text),Final Payment (Received),FP Receipt Date (Text),LPP Received,LPP Receipt Date (Text),Payment Status (Sheet),Invoice No.,SAP Document,Invoice Date (Text)
1,SCRAP POWER TRANSFORMER,3857116,21977,NO,2007,SHAR JAHAN TRADERS,3857116,0,964279,2026-08-13,3573618.90570839,2026-08-13,,,SETTLED,DR2640100024,1800003196,2026-08-17
250,Scrap of empty oil Druam,543,21977,NO,2008,HIND TRADERS,135750,0,33938,2026-08-14,125772,2026-08-18,,,SETTLED,DR2640100026,1800003247,2026-08-20
22,Scrap of empty oil Barrel,700,21977,NO,2011,STERLING ENTERPRISES,15400,0,3850,2026-08-11,14267,2026-08-11,,,SETTLED,DR2640100019,1800003157,2026-08-14
100,Scrap of empty oil Barrels,710,21978,NO,2015,STERLING ENTERPRISES,71000,0,17750,2026-08-11,65782,2026-08-11,,,SETTLED,DR2640100020,1800003158,2026-08-14
1,Scrap of 220 KV Circuit Breaker,220001,21978,NO,2018,NATIONAL ENTERPRISES,220001,0,55000,2026-08-13,203831,2026-08-24,,,SETTLED,DR2640100034,1800003306,2026-08-27
1,Scrap of 220 KV Circuit Breaker,210001,21978,NO,2019,NATIONAL ENTERPRISES,210001,0,52500,2026-08-13,194566,2026-08-24,,,SETTLED,DR2640100035,1800003307,2026-08-27
3500,SCRAP 80MM² AAAC EARTHWIRE,333,21978,KG,2020,OMKAR STEELS,1165500,0.02,291375,2026-08-10,1056525,2026-08-10,,,SETTLED,DR2640100017,1800003065,2026-08-12
3,Scrap of 132 KV CT,110200,21978,NO,2022,NATIONAL SCRAP AND BUILDING MATERIAL SUPPLIER,330600,0,82650,2026-08-14,306301,2026-08-21,,,SETTLED,DR2640100028,1800003269,2026-08-24
3,Scrap of 132 KV CT,83743,21978,NO,2023,NATIONAL ENTERPRISES,251229,0,62807,2026-08-13,232764,2026-08-24,,,SETTLED,DR2640100044,1800003308,2026-08-27
90,Scrap of empty oil Barrels,700,21978,NO,2025,STERLING ENTERPRISES,63000,0,15750,2026-08-11,58418,2026-08-11,,,SETTLED,DR2640100021,1800003160,2026-08-14
1,Scrap of 132 KV CT,50003,21978,NO,2027,NATIONAL ENTERPRISES,50003,0,12501,2026-08-13,46328,2026-08-24,,,SETTLED,DR2640100036,1800003309,2026-08-27
1000,Scrap Empty Oil Drum/ Barrel,517,21978,NO,2033,WATAN SCRAP TRADERS,517000,0,129250,2026-08-14,479001,2026-08-21,,,SETTLED,DR2640100042,1800003317,2026-08-27
2,Scrap of 132 KV Wave Trap,14001,21978,NO,2035,NATIONAL ENTERPRISES,28002,0,7001,2026-08-13,25943,2026-08-24,,,SETTLED,DR2640100037,1800003310,2026-08-27
8.2,Mix Scrap (Tower angles & 0.2 ACSR Condutor pieces),67000,21978,MT,2036,M I SCRAP TRADERS,549400,0.02,137350,2026-08-14,509019,2026-09-04,12966,2026-09-04,SETTLED,,,
50,Scrap of empty oil Barrels,531,21978,NO,2037,WATAN SCRAP TRADERS,26550,0,6638,2026-08-14,24598,2026-08-21,,,SETTLED,DR2640100043,1800003318,2026-08-27
3,Scrap of 33 KV CT,90002,21978,NO,2040,STERLING ENTERPRISES,270006,0,67502,2026-08-11,,,,,OUTSTANDING,,,
5,Scrap of 132 KV CT,80000,21979,NO,2043,NATIONAL ENTERPRISES,400000,0,100000,2026-08-13,370600,2026-08-24,,,SETTLED,DR2640100038,1800003311,2026-08-27
670,Scrap of AAAC Earth wire,309,21979,KG,2046,SAHARA ENTERPRISES,207030,0,51758,2026-08-11,191812,2026-08-21,,,SETTLED,DR2640100041,1800003316,2026-08-27
2,Scrap of 220 KV CT,80006,21979,NO,2055,NATIONAL ENTERPRISES,160012,0,40003,2026-08-13,148251,2026-08-24,,,SETTLED,DR2640100039,1800003312,2026-08-27
1,Scrap of 33 KV GCB,29502,21979,NO,2059,NATIONAL ENTERPRISES,29502,0,7376,2026-08-13,27332,2026-08-24,,,SETTLED,DR2640100046,1800003313,2026-08-27
30,Scrap of Empty oil Barrels,702,21979,NO,2062,STERLING ENTERPRISES,21060,0,5265,2026-08-11,19512,2026-08-11,,,SETTLED,DR2640100022,1800003161,2026-08-14
150,Scrap of empty oil drums,571,21980,NO,2067,WATAN SCRAP TRADERS,85650,0,21413,2026-08-14,79354,2026-08-20,,,SETTLED,DR2640100027,1800003248,2026-08-20
1,Scrap of 33 KV CB,54000,21980,NO,2069,STERLING ENTERPRISES,54000,0,13500,2026-08-11,,,,,OUTSTANDING,,,
3,Scrap of 66 KV Isolater,25001,21980,NO,2071,NATIONAL ENTERPRISES,75003,0,18751,2026-08-13,69491,2026-08-24,,,SETTLED,DR2640100040,1800003314,2026-08-27
3,Scrap of 132 KV CT,70001,21980,NO,2086,KASHYAP TRADING CO,210003,0,52501,2026-08-17,194568,2026-08-17,,,SETTLED,DR2640100025,1800003226,2026-08-19
2,Scrap of 66 kv TBC C & R Panel,15006,21980,NO,2089,S M ENTERPRISES,30012,0,7503,2026-08-14,27806,2026-09-01,708,2026-09-01,SETTLED,,,
3,Scrap of 132 KV CT,40003,21980,NO,2091,S M ENTERPRISES,120009,0,30002,2026-08-14,111189,2026-09-01,2832,2026-09-01,SETTLED,,,
